weeks_since_heatwave,adapted_temp,population_id,starting_population,mortality
0,25,1,30,19
0,25,2,30,17
0,25,3,30,14
0,25,4,30,20
0,25,5,30,22
0,25,6,30,15
0,25,7,30,14
0,25,8,30,15
0,25,9,30,12
0,25,10,30,22
0,30,1,30,4
0,30,2,30,15
0,30,3,30,6
0,30,4,30,11
0,30,5,30,4
0,30,6,30,7
0,30,7,30,13
0,30,8,30,8
0,30,9,30,14
0,30,10,30,15
0,35,1,30,16
0,35,2,29,16
0,35,3,30,17
0,35,4,31,15
0,35,5,30,25
0,35,6,30,20
0,35,7,30,7
0,35,8,30,19
0,35,9,30,15
0,35,10,30,16
2,25,1,30,7
2,25,2,30,8
2,25,3,30,8
2,25,4,30,7
2,25,5,30,5
2,25,6,30,10
2,25,7,30,11
2,25,8,30,7
2,25,9,30,9
2,25,10,30,3
2,30,1,30,9
2,30,2,30,11
2,30,3,30,12
2,30,4,30,5
2,30,5,30,15
2,30,6,30,9
2,30,7,30,12
2,30,8,30,8
2,30,9,30,8
2,30,10,30,8
2,35,1,30,11
2,35,2,29,11
2,35,3,30,9
2,35,4,31,11
2,35,5,30,4
2,35,6,30,9
2,35,7,30,17
2,35,8,30,11
2,35,9,30,12
2,35,10,30,13
