heatwave,adapted_temp,population_id,replicate,egg_count,notes
0,25,1,1,11,NA
0,25,1,2,26,NA
0,25,1,3,11,NA
0,25,2,1,19,NA
0,25,2,2,16,NA
0,25,2,3,20,NA
0,25,3,1,12,NA
0,25,3,2,17,NA
0,25,3,3,23,NA
0,25,4,1,26,NA
0,25,4,2,0,nb
0,25,4,3,17,NA
0,25,5,1,24,NA
0,25,5,2,18,NA
0,25,5,3,22,NA
0,25,6,1,22,NA
0,25,6,2,14,NA
0,25,6,3,0,nb
0,25,7,1,20,NA
0,25,7,2,16,NA
0,25,7,3,14,NA
0,25,8,1,13,NA
0,25,8,2,13,NA
0,25,8,3,15,NA
0,25,9,1,10,NA
0,25,9,2,20,NA
0,25,9,3,15,NA
0,25,10,1,13,NA
0,25,10,2,6,NA
0,25,10,3,14,NA
0,30,1,1,10,NA
0,30,1,2,14,NA
0,30,1,3,20,NA
0,30,2,1,1,NA
0,30,2,2,13,NA
0,30,2,3,1,NA
0,30,3,1,17,NA
0,30,3,2,14,NA
0,30,3,3,7,NA
0,30,4,1,1,NA
0,30,4,2,16,NA
0,30,4,3,22,nb
0,30,5,1,24,NA
0,30,5,2,28,NA
0,30,5,3,10,NA
0,30,6,1,12,NA
0,30,6,2,18,NA
0,30,6,3,19,NA
0,30,7,1,15,NA
0,30,7,2,15,NA
0,30,7,3,19,NA
0,30,8,1,21,NA
0,30,8,2,17,NA
0,30,8,3,15,NA
0,30,9,1,15,NA
0,30,9,2,12,NA
0,30,9,3,21,NA
0,30,10,1,17,NA
0,30,10,2,8,nb
0,30,10,3,16,NA
0,35,1,1,21,NA
0,35,1,2,17,NA
0,35,1,3,13,NA
0,35,2,1,21,NA
0,35,2,2,6,NA
0,35,2,3,15,NA
0,35,3,1,11,NA
0,35,3,2,15,NA
0,35,3,2,15,NA
0,35,3,3,26,NA
0,35,4,1,5,NA
0,35,4,2,15,NA
0,35,4,3,16,NA
0,35,5,1,10,NA
0,35,5,2,24,NA
0,35,5,3,9,NA
0,35,6,1,3,NA
0,35,6,2,16,NA
0,35,6,3,14,NA
0,35,7,1,12,NA
0,35,7,2,10,NA
0,35,7,3,15,NA
0,35,8,1,9,NA
0,35,8,3,17,NA
0,35,9,1,16,NA
0,35,9,2,15,NA
0,35,9,3,20,NA
0,35,10,1,15,NA
0,35,10,2,15,NA
0,35,10,3,17,NA
1,25,1,1,0,NA
1,25,1,2,0,db
1,25,1,3,0,nb
1,25,2,1,0,NA
1,25,2,2,0,db
1,25,2,3,0,db
1,25,3,1,2,NA
1,25,3,2,0,NA
1,25,3,3,0,NA
1,25,4,1,0,NA
1,25,4,2,0,nb
1,25,4,3,0,NA
1,25,5,1,0,NA
1,25,5,2,0,NA
1,25,5,3,0,NA
1,25,6,1,0,NA
1,25,6,2,0,NA
1,25,6,3,0,NA
1,25,7,1,0,NA
1,25,7,2,0,db
1,25,7,3,0,NA
1,25,8,1,0,nb
1,25,8,2,0,NA
1,25,8,3,0,NA
1,25,9,1,0,NA
1,25,9,2,0,db
1,25,9,3,0,db
1,25,10,1,0,NA
1,25,10,2,0,NA
1,30,1,1,0,NA
1,30,1,2,0,NA
1,30,1,3,0,NA
1,30,2,1,0,NA
1,30,2,2,0,NA
1,30,2,3,0,NA
1,30,3,1,0,NA
1,30,3,2,0,db
1,30,3,3,0,db
1,30,4,1,0,NA
1,30,4,2,0,db
1,30,4,3,0,NA
1,30,5,1,0,db
1,30,5,2,0,NA
1,30,5,3,0,NA
1,30,6,1,0,NA
1,30,6,2,0,NA
1,30,6,3,0,NA
1,30,7,1,0,NA
1,30,7,2,0,NA
1,30,7,3,0,NA
1,30,8,1,0,NA
1,30,8,2,0,db
1,30,8,3,0,NA
1,30,9,1,0,db
1,30,9,2,0,NA
1,30,9,3,0,NA
1,30,10,1,0,NA
1,30,10,2,0,NA
1,30,10,3,0,NA
1,35,1,1,0,NA
1,35,1,2,0,NA
1,35,1,3,0,NA
1,35,2,1,0,NA
1,35,2,2,0,NA
1,35,2,3,0,NA
1,35,3,1,0,NA
1,35,3,2,0,NA
1,35,3,3,0,NA
1,35,4,1,0,db
1,35,4,2,0,NA
1,35,4,3,0,db
1,35,6,1,0,db
1,35,6,2,0,NA
1,35,6,3,0,NA
1,35,7,1,0,NA
1,35,7,2,0,NA
1,35,7,3,0,db
1,35,8,1,0,NA
1,35,8,2,0,db
1,35,8,3,0,NA
1,35,9,1,0,NA
1,35,9,2,0,NA
1,35,9,3,0,db
1,35,10,1,0,NA
1,35,10,2,0,NA
1,35,10,3,0,NA
