weeks_since_heatwave,heatwave,adapted_temp,population_id,alive
0,0,25,1,27
0,0,25,2,26
0,0,25,3,29
0,0,25,4,30
0,0,25,5,30
0,0,25,6,30
0,0,25,7,29
0,0,25,8,26
0,0,25,9,30
0,0,25,10,29
0,0,30,1,30
0,0,30,2,29
0,0,30,3,30
0,0,30,4,30
0,0,30,5,29
0,0,30,6,30
0,0,30,7,30
0,0,30,8,30
0,0,30,9,30
0,0,30,10,29
0,0,35,1,30
0,0,35,2,30
0,0,35,3,30
0,0,35,4,30
0,0,35,5,30
0,0,35,6,30
0,0,35,7,30
0,0,35,8,30
0,0,35,9,30
0,0,35,10,30
0,1,25,1,11
0,1,25,2,13
0,1,25,3,16
0,1,25,4,10
0,1,25,5,8
0,1,25,6,15
0,1,25,7,16
0,1,25,8,15
0,1,25,9,18
0,1,25,10,8
0,1,30,1,26
0,1,30,2,15
0,1,30,3,24
0,1,30,4,19
0,1,30,5,26
0,1,30,6,23
0,1,30,7,17
0,1,30,8,22
0,1,30,9,16
0,1,30,10,15
0,1,35,1,14
0,1,35,2,13
0,1,35,3,13
0,1,35,4,16
0,1,35,5,5
0,1,35,6,10
0,1,35,7,23
0,1,35,8,11
0,1,35,9,15
0,1,35,10,14
2,0,25,1,27
2,0,25,2,26
2,0,25,3,29
2,0,25,4,30
2,0,25,5,30
2,0,25,6,30
2,0,25,7,29
2,0,25,8,26
2,0,25,9,30
2,0,25,10,29
2,0,30,1,30
2,0,30,2,29
2,0,30,3,30
2,0,30,4,30
2,0,30,5,29
2,0,30,6,30
2,0,30,7,30
2,0,30,8,30
2,0,30,9,30
2,0,30,10,29
2,0,35,1,30
2,0,35,2,30
2,0,35,3,29
2,0,35,4,30
2,0,35,5,30
2,0,35,6,30
2,0,35,7,29
2,0,35,8,30
2,0,35,9,30
2,0,35,10,30
2,1,25,1,4
2,1,25,2,5
2,1,25,3,8
2,1,25,4,3
2,1,25,5,3
2,1,25,6,5
2,1,25,7,5
2,1,25,8,8
2,1,25,9,9
2,1,25,10,5
2,1,30,1,17
2,1,30,2,4
2,1,30,3,12
2,1,30,4,14
2,1,30,5,11
2,1,30,6,14
2,1,30,7,5
2,1,30,8,14
2,1,30,9,8
2,1,30,10,7
2,1,35,1,3
2,1,35,2,2
2,1,35,3,4
2,1,35,4,5
2,1,35,5,1
2,1,35,6,1
2,1,35,7,6
2,1,35,8,0
2,1,35,9,3
2,1,35,10,1
6,0,25,1,158
6,0,25,2,194
6,0,25,3,183
6,0,25,4,184
6,0,25,5,202
6,0,25,6,201
6,0,25,7,179
6,0,25,8,239
6,0,25,9,193
6,0,25,10,185
6,0,30,1,202
6,0,30,2,168
6,0,30,3,156
6,0,30,4,154
6,0,30,5,171
6,0,30,6,178
6,0,30,7,181
6,0,30,8,144
6,0,30,9,201
6,0,30,10,205
6,0,35,1,238
6,0,35,2,247
6,0,35,3,263
6,0,35,4,232
6,0,35,5,282
6,0,35,6,245
6,0,35,7,232
6,0,35,8,130
6,0,35,9,243
6,0,35,10,249
6,1,25,1,3
6,1,25,2,17
6,1,25,3,8
6,1,25,4,10
6,1,25,5,37
6,1,25,6,12
6,1,25,7,44
6,1,25,8,48
6,1,25,9,33
6,1,25,10,14
6,1,30,1,83
6,1,30,2,26
6,1,30,3,61
6,1,30,4,52
6,1,30,5,48
6,1,30,6,32
6,1,30,7,50
6,1,30,8,57
6,1,30,9,66
6,1,30,10,6
6,1,35,1,42
6,1,35,2,113
6,1,35,3,11
6,1,35,4,17
6,1,35,5,94
6,1,35,6,1
6,1,35,7,6
6,1,35,8,0
6,1,35,9,9
6,1,35,10,1
12,0,25,1,169
12,0,25,2,203
12,0,25,3,187
12,0,25,4,192
12,0,25,5,182
12,0,25,6,199
12,0,25,7,194
12,0,25,8,248
12,0,25,9,199
12,0,25,10,199
12,0,30,1,204
12,0,30,2,177
12,0,30,3,164
12,0,30,4,163
12,0,30,5,200
12,0,30,6,181
12,0,30,7,167
12,0,30,8,154
12,0,30,9,211
12,0,30,10,204
12,0,35,1,245
12,0,35,2,248
12,0,35,3,270
12,0,35,4,236
12,0,35,5,290
12,0,35,6,249
12,0,35,7,252
12,0,35,8,229
12,0,35,9,257
12,0,35,10,264
12,1,25,1,3
12,1,25,2,85
12,1,25,3,8
12,1,25,4,100
12,1,25,5,108
12,1,25,6,141
12,1,25,7,151
12,1,25,8,111
12,1,25,9,141
12,1,25,10,97
12,1,30,1,145
12,1,30,2,126
12,1,30,3,140
12,1,30,4,138
12,1,30,5,131
12,1,30,6,75
12,1,30,7,165
12,1,30,8,123
12,1,30,9,129
12,1,30,10,78
12,1,35,1,83
12,1,35,2,144
12,1,35,3,117
12,1,35,4,144
12,1,35,5,149
12,1,35,6,1
12,1,35,7,118
12,1,35,8,0
12,1,35,9,136
12,1,35,10,1
18,0,25,1,182
18,0,25,2,212
18,0,25,3,194
18,0,25,4,207
18,0,25,5,190
18,0,25,6,199
18,0,25,7,192
18,0,25,8,251
18,0,25,9,196
18,0,25,10,207
18,0,30,1,210
18,0,30,2,184
18,0,30,3,193
18,0,30,4,172
18,0,30,5,213
18,0,30,6,197
18,0,30,7,174
18,0,30,8,164
18,0,30,9,229
18,0,30,10,216
18,0,35,1,250
18,0,35,2,257
18,0,35,3,283
18,0,35,4,247
18,0,35,5,298
18,0,35,6,259
18,0,35,7,255
18,0,35,8,237
18,0,35,9,271
18,0,35,10,264
18,1,25,1,3
18,1,25,2,102
18,1,25,3,7
18,1,25,4,130
18,1,25,5,139
18,1,25,6,173
18,1,25,7,184
18,1,25,8,124
18,1,25,9,167
18,1,25,10,108
18,1,30,1,176
18,1,30,2,155
18,1,30,3,171
18,1,30,4,159
18,1,30,5,173
18,1,30,6,97
18,1,30,7,194
18,1,30,8,141
18,1,30,9,164
18,1,30,10,128
18,1,35,1,126
18,1,35,2,176
18,1,35,3,157
18,1,35,4,191
18,1,35,5,175
18,1,35,6,1
18,1,35,7,144
18,1,35,8,0
18,1,35,9,160
18,1,35,10,1
