heatwave,adapted_temp,group_id,sex,replicate,weight
0,25,1,f,1,0.00145
0,25,1,f,2,0.00119
0,25,1,f,3,0.0014
0,25,1,f,4,0.00146
0,25,1,f,5,0.00138
0,25,1,m,1,0.00145
0,25,1,m,2,0.00139
0,25,1,m,3,0.00157
0,25,1,m,4,0.00125
0,25,1,m,5,0.00138
0,25,2,f,1,0.0016
0,25,2,f,2,0.00113
0,25,2,f,3,0.0013
0,25,2,f,4,0.00155
0,25,2,f,5,0.00122
0,25,2,m,1,0.00139
0,25,2,m,2,0.00111
0,25,2,m,3,0.00113
0,25,2,m,4,0.00112
0,25,2,m,5,0.00133
0,25,3,f,1,0.00132
0,25,3,f,2,0.00124
0,25,3,f,3,0.00151
0,25,3,f,4,0.0012
0,25,3,f,5,0.00138
0,25,3,m,1,0.00161
0,25,3,m,2,0.00108
0,25,3,m,3,0.00118
0,25,3,m,4,0.00164
0,25,3,m,5,0.00155
0,25,4,f,1,0.0013
0,25,4,f,2,0.0013
0,25,4,f,3,0.00141
0,25,4,f,4,0.00157
0,25,4,f,5,0.00164
0,25,4,m,1,0.00103
0,25,4,m,2,0.00143
0,25,4,m,3,0.00138
0,25,4,m,4,0.00134
0,25,4,m,5,0.00135
0,25,5,f,1,0.00133
0,25,5,f,2,0.00145
0,25,5,f,3,0.00131
0,25,5,f,4,0.00126
0,25,5,f,5,0.00154
0,25,5,m,1,0.00118
0,25,5,m,2,0.0015
0,25,5,m,3,0.00128
0,25,5,m,4,0.00111
0,25,5,m,5,0.0011
0,25,6,f,1,0.00143
0,25,6,f,2,0.00155
0,25,6,f,3,0.00142
0,25,6,f,4,0.00142
0,25,6,f,5,0.00147
0,25,6,m,1,0.00147
0,25,6,m,2,0.00125
0,25,6,m,3,0.00151
0,25,6,m,4,0.0013
0,25,6,m,5,0.00128
0,25,7,f,1,0.0011
0,25,7,f,2,0.00139
0,25,7,f,3,0.00147
0,25,7,f,4,0.00144
0,25,7,f,5,0.00151
0,25,7,m,1,0.00122
0,25,7,m,2,0.0013
0,25,7,m,3,0.00131
0,25,7,m,4,0.00136
0,25,7,m,5,0.00137
0,25,8,f,1,0.00152
0,25,8,f,2,0.00153
0,25,8,f,3,0.0016
0,25,8,f,4,0.00144
0,25,8,f,5,0.00156
0,25,8,m,1,0.00132
0,25,8,m,2,0.0013
0,25,8,m,3,0.00136
0,25,8,m,4,0.00099
0,25,8,m,5,0.0015
0,25,9,f,1,0.00136
0,25,9,f,2,0.00156
0,25,9,f,3,0.0014
0,25,9,f,4,0.00134
0,25,9,f,5,0.00155
0,25,9,m,1,0.00152
0,25,9,m,2,0.00117
0,25,9,m,3,0.00145
0,25,9,m,4,0.00129
0,25,9,m,5,0.00119
0,25,10,f,1,0.00138
0,25,10,f,2,0.0012
0,25,10,f,3,0.00152
0,25,10,f,4,0.00116
0,25,10,f,5,0.00171
0,25,10,m,1,0.00133
0,25,10,m,2,0.00119
0,25,10,m,3,0.00113
0,25,10,m,4,0.0013
0,25,10,m,5,0.00123
0,30,1,f,1,0.00132
0,30,1,f,2,0.00162
0,30,1,f,3,0.00157
0,30,1,f,4,0.00144
0,30,1,f,5,0.00145
0,30,1,m,1,0.00136
0,30,1,m,2,0.00142
0,30,1,m,3,0.0017
0,30,1,m,4,0.00153
0,30,1,m,5,0.0013
0,30,2,f,1,0.00119
0,30,2,f,2,0.00118
0,30,2,f,3,0.00158
0,30,2,f,4,0.00124
0,30,2,f,5,0.00147
0,30,2,m,1,0.00114
0,30,2,m,2,0.00137
0,30,2,m,3,0.00126
0,30,2,m,4,0.00161
0,30,2,m,5,0.00149
0,30,3,f,1,0.00167
0,30,3,f,2,0.00119
0,30,3,f,3,0.00147
0,30,3,f,4,0.00114
0,30,3,f,5,0.00115
0,30,3,m,1,0.00149
0,30,3,m,2,0.00147
0,30,3,m,3,0.00139
0,30,3,m,4,0.00132
0,30,3,m,5,0.00124
0,30,4,f,1,0.00158
0,30,4,f,2,0.00147
0,30,4,f,3,0.00132
0,30,4,f,4,0.00145
0,30,4,f,5,0.00097
0,30,4,m,1,0.00145
0,30,4,m,2,0.00121
0,30,4,m,3,0.0013
0,30,4,m,4,0.00125
0,30,4,m,5,0.00141
0,30,5,f,1,0.00151
0,30,5,f,2,0.00128
0,30,5,f,3,0.00153
0,30,5,f,4,0.0014
0,30,5,f,5,0.00144
0,30,5,m,1,0.00125
0,30,5,m,2,0.00111
0,30,5,m,3,0.0013
0,30,5,m,4,0.00138
0,30,5,m,5,0.00103
0,30,6,f,1,0.00146
0,30,6,f,2,0.0012
0,30,6,f,3,0.00123
0,30,6,f,4,0.00115
0,30,6,f,5,0.00125
0,30,6,m,1,0.00139
0,30,6,m,2,0.00121
0,30,6,m,3,0.00122
0,30,6,m,4,0.00091
0,30,6,m,5,0.00135
0,30,7,f,1,0.00137
0,30,7,f,2,0.00144
0,30,7,f,3,0.00128
0,30,7,f,4,0.00145
0,30,7,f,5,0.00132
0,30,7,m,1,0.00115
0,30,7,m,2,0.00131
0,30,7,m,3,0.00107
0,30,7,m,4,0.00089
0,30,7,m,5,0.00123
0,30,8,f,1,0.00157
0,30,8,f,2,0.00117
0,30,8,f,3,0.00134
0,30,8,f,4,0.00127
0,30,8,f,5,0.00123
0,30,8,m,1,0.00121
0,30,8,m,2,0.00097
0,30,8,m,3,0.00114
0,30,8,m,4,0.00124
0,30,8,m,5,0.00159
0,30,9,f,1,0.00156
0,30,9,f,2,0.00153
0,30,9,f,3,0.00144
0,30,9,f,4,0.0016
0,30,9,f,5,0.00147
0,30,9,m,1,0.00131
0,30,9,m,2,0.00118
0,30,9,m,3,0.00122
0,30,9,m,4,0.00137
0,30,9,m,5,0.00138
0,30,10,f,1,0.00152
0,30,10,f,2,0.00142
0,30,10,f,3,0.0013
0,30,10,f,4,0.00124
0,30,10,f,5,0.00117
0,30,10,m,1,0.00125
0,30,10,m,2,0.00123
